songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,E_High,E_Avg,E_Low,A_High,A_Avg,A_Low,C_High,C_Avg,C_Low,N_High,N_Avg,N_Low,O_High,O_Avg,O_Low,userTotal
2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,80,0.711,0.292,0.313,0.0,0.131,0.194,"singer-songwriter, pop, rock, soul, indie",0.5,0.15,0.35,0.25,0.55,0.2,0.45,0.35,0.2,0.3,0.35,0.35,0.45,0.15,0.4,20
35PKfoynRpVFoAUE3D5Kc6,Work Song,Hozier,https://open.spotify.com/track/35PKfoynRpVFoAUE3D5Kc6,73,0.433,0.388,0.776,0.0,0.112,0.262,"soul, singer-songwriter, pop, indie",0.6,0.1,0.3,0.35,0.4,0.25,0.3,0.5,0.2,0.45,0.35,0.2,0.45,0.25,0.3,20
7N2PNxzZXxCdAHiAfsklhT,"Check Yes, Juliet",We The Kings,https://open.spotify.com/track/7N2PNxzZXxCdAHiAfsklhT,69,0.352,0.912,0.00197,0.0,0.193,0.351,"pop punk, rock, pop, indie",0.48148148148148145,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.5185185185185185,0.18518518518518517,0.2962962962962963,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.4074074074074074,0.25925925925925924,0.4074074074074074,0.14814814814814814,0.4444444444444444,27
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,82,0.643,0.849,0.0371,0.0,0.058,0.903,"rock, indie, pop punk, pop, Pop-punk",0.8,0.2,0.0,0.5,0.3,0.2,0.1,0.7,0.2,0.2,0.4,0.4,0.4,0.2,0.4,10
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,https://open.spotify.com/track/0JJP0IS4w0fJx01EcrfkDe,75,0.459,0.895,0.00725,0.0,0.206,0.572,"pop punk, rock, indie, pop, Pop-punk",0.425,0.35,0.225,0.375,0.425,0.2,0.325,0.375,0.3,0.325,0.35,0.325,0.35,0.225,0.425,40
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,Simple Plan,https://open.spotify.com/track/6otiaV2fagE3s8IvP6WkwG,71,0.527,0.834,0.00107,0.000102,0.0993,0.422,"rock, pop punk, pop, Pop-punk, indie",0.45454545454545453,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.42424242424242425,0.12121212121212122,0.2727272727272727,0.48484848484848486,0.24242424242424243,0.21212121212121213,0.48484848484848486,0.30303030303030304,0.30303030303030304,0.24242424242424243,0.45454545454545453,33
5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,https://open.spotify.com/track/5oQcOu1omDykbIPSdSQQNJ,70,0.606,0.887,0.000242,0.0,0.337,0.903,"rock, pop punk, pop, Pop-punk, indie",0.5384615384615384,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.38461538461538464,13
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt,83,0.527,0.415,0.457,1.72e-05,0.117,0.515,"soul, pop, singer-songwriter, rock",0.5333333333333333,0.26666666666666666,0.2,0.4666666666666667,0.4,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.4666666666666667,15
3SdTKo2uVsxFblQjpScoHy,Stand By Me,Ben E. King,https://open.spotify.com/track/3SdTKo2uVsxFblQjpScoHy,76,0.65,0.306,0.57,7.07e-06,0.0707,0.605,"soul, pop, rock, singer-songwriter",0.5121951219512195,0.2926829268292683,0.1951219512195122,0.3902439024390244,0.43902439024390244,0.17073170731707318,0.36585365853658536,0.4146341463414634,0.21951219512195122,0.3170731707317073,0.3902439024390244,0.2926829268292683,0.36585365853658536,0.17073170731707318,0.4634146341463415,41
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,74,0.805,0.558,0.164,2.2e-05,0.0546,0.965,"soul, pop, rock",0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4444444444444444,9
